Sample Size,Tree,dataset,type dataset,slurm_job_number,Insertion time (s),Insertion + searching exact times,Insertion + searching times,Searching Exact times,Searching Times,,
2000000,Recursion,wikipedia_sorted,pkl,58191279,49.68,72.03,70.98,22.35,21.3,,
2000000,Recursion,wikipedia_sorted,pkl,58191280,46.74,66.83,66.61,20.09,19.87,,
2000000,Recursion,wikipedia_sorted,pkl,58191281,46.68,66.96,66.82,20.28,20.14,,
2000000,Iterative,wikipedia_sorted,pkl,58191279,25.48,40.15,40.38,14.67,14.9,,
2000000,Iterative,wikipedia_sorted,pkl,58191280,24.17,38.34,37.98,14.17,13.81,,
2000000,Iterative,wikipedia_sorted,pkl,58191281,24.27,38.27,37.83,14,13.56,,
2000000,Sparse,wikipedia_sorted,pkl,58191279,44.02,64.53,64.45,20.51,20.43,,
2000000,Sparse,wikipedia_sorted,pkl,58191280,42.21,61.54,61.79,19.33,19.58,,
2000000,Sparse,wikipedia_sorted,pkl,58191281,41.64,61.36,60.58,19.72,18.94,,
2000000,Btree,wikipedia_sorted,pkl,58191279,error,error,error,error,error,,
2000000,Btree,wikipedia_sorted,pkl,58191280,error,error,error,error,error,,
2000000,Btree,wikipedia_sorted,pkl,58191281,error,error,error,error,error,,
